#At time x process y state arr w total z remain y wait k
At time 198 process 17 stopped arr 93 total 12 remain 6 wait 48
At time 199 process 10 resumed arr 58 total 24 remain 18 wait 102
At time 202 process 10 stopped arr 58 total 24 remain 15 wait 102
At time 203 process 18 resumed arr 95 total 24 remain 21 wait 48
At time 206 process 18 stopped arr 95 total 24 remain 18 wait 48
At time 207 process 20 resumed arr 100 total 7 remain 4 wait 45
At time 210 process 20 stopped arr 100 total 7 remain 1 wait 45
At time 211 process 11 resumed arr 61 total 7 remain 1 wait 106
At time 211 process 11 finished arr 61 total 7 remain 0 wait 106 TA 150.00 WTA 21.43
At time 212 process 7 resumed arr 42 total 28 remain 19 wait 138
At time 215 process 7 stopped arr 42 total 28 remain 16 wait 138
At time 216 process 3 resumed arr 15 total 29 remain 14 wait 180
At time 219 process 3 stopped arr 15 total 29 remain 11 wait 180
At time 220 process 4 resumed arr 15 total 24 remain 9 wait 180
At time 223 process 4 stopped arr 15 total 24 remain 6 wait 180
At time 224 process 15 resumed arr 77 total 26 remain 20 wait 93
At time 227 process 15 stopped arr 77 total 26 remain 17 wait 93
At time 228 process 8 resumed arr 51 total 26 remain 17 wait 142
At time 231 process 8 stopped arr 51 total 26 remain 14 wait 142
At time 232 process 16 resumed arr 85 total 14 remain 8 wait 90
At time 235 process 16 stopped arr 85 total 14 remain 5 wait 90
At time 236 process 6 resumed arr 32 total 29 remain 17 wait 171
At time 239 process 6 stopped arr 32 total 29 remain 14 wait 171
At time 240 process 17 resumed arr 93 total 12 remain 6 wait 90
At time 243 process 17 stopped arr 93 total 12 remain 3 wait 90
At time 244 process 10 resumed arr 58 total 24 remain 15 wait 144
At time 247 process 10 stopped arr 58 total 24 remain 12 wait 144
At time 248 process 18 resumed arr 95 total 24 remain 18 wait 90
At time 251 process 18 stopped arr 95 total 24 remain 15 wait 90
At time 252 process 20 resumed arr 100 total 7 remain 1 wait 87
At time 252 process 20 finished arr 100 total 7 remain 0 wait 87 TA 152.00 WTA 21.71
At time 253 process 7 resumed arr 42 total 28 remain 16 wait 176
At time 256 process 7 stopped arr 42 total 28 remain 13 wait 176
At time 257 process 3 resumed arr 15 total 29 remain 11 wait 218
At time 260 process 3 stopped arr 15 total 29 remain 8 wait 218
At time 261 process 4 resumed arr 15 total 24 remain 6 wait 218
At time 264 process 4 stopped arr 15 total 24 remain 3 wait 218
At time 265 process 15 resumed arr 77 total 26 remain 17 wait 131
At time 268 process 15 stopped arr 77 total 26 remain 14 wait 131
At time 269 process 8 resumed arr 51 total 26 remain 14 wait 180
At time 272 process 8 stopped arr 51 total 26 remain 11 wait 180
At time 273 process 16 resumed arr 85 total 14 remain 5 wait 128
At time 276 process 16 stopped arr 85 total 14 remain 2 wait 128
At time 277 process 6 resumed arr 32 total 29 remain 14 wait 209
At time 280 process 6 stopped arr 32 total 29 remain 11 wait 209
At time 281 process 17 resumed arr 93 total 12 remain 3 wait 128
At time 283 process 17 finished arr 93 total 12 remain 0 wait 128 TA 190.00 WTA 15.83
At time 284 process 10 resumed arr 58 total 24 remain 12 wait 181
At time 287 process 10 stopped arr 58 total 24 remain 9 wait 181
At time 288 process 18 resumed arr 95 total 24 remain 15 wait 127
At time 291 process 18 stopped arr 95 total 24 remain 12 wait 127
At time 292 process 7 resumed arr 42 total 28 remain 13 wait 212
At time 295 process 7 stopped arr 42 total 28 remain 10 wait 212
At time 296 process 3 resumed arr 15 total 29 remain 8 wait 254
At time 299 process 3 stopped arr 15 total 29 remain 5 wait 254
At time 300 process 4 resumed arr 15 total 24 remain 3 wait 254
At time 302 process 4 finished arr 15 total 24 remain 0 wait 254 TA 287.00 WTA 11.96
At time 303 process 15 resumed arr 77 total 26 remain 14 wait 166
At time 306 process 15 stopped arr 77 total 26 remain 11 wait 166
At time 307 process 8 resumed arr 51 total 26 remain 11 wait 215
At time 310 process 8 stopped arr 51 total 26 remain 8 wait 215
At time 311 process 16 resumed arr 85 total 14 remain 2 wait 163
At time 312 process 16 finished arr 85 total 14 remain 0 wait 163 TA 227.00 WTA 16.21
At time 313 process 6 resumed arr 32 total 29 remain 11 wait 242
At time 316 process 6 stopped arr 32 total 29 remain 8 wait 242
At time 317 process 10 resumed arr 58 total 24 remain 9 wait 211
At time 320 process 10 stopped arr 58 total 24 remain 6 wait 211
At time 321 process 18 resumed arr 95 total 24 remain 12 wait 157
At time 324 process 18 stopped arr 95 total 24 remain 9 wait 157
At time 325 process 7 resumed arr 42 total 28 remain 10 wait 242
At time 328 process 7 stopped arr 42 total 28 remain 7 wait 242
At time 329 process 3 resumed arr 15 total 29 remain 5 wait 284
At time 332 process 3 stopped arr 15 total 29 remain 2 wait 284
At time 333 process 15 resumed arr 77 total 26 remain 11 wait 193
At time 336 process 15 stopped arr 77 total 26 remain 8 wait 193
At time 337 process 8 resumed arr 51 total 26 remain 8 wait 242
At time 340 process 8 stopped arr 51 total 26 remain 5 wait 242
At time 341 process 6 resumed arr 32 total 29 remain 8 wait 267
At time 344 process 6 stopped arr 32 total 29 remain 5 wait 267
At time 345 process 10 resumed arr 58 total 24 remain 6 wait 236
At time 348 process 10 stopped arr 58 total 24 remain 3 wait 236
At time 349 process 18 resumed arr 95 total 24 remain 9 wait 182
At time 352 process 18 stopped arr 95 total 24 remain 6 wait 182
At time 353 process 7 resumed arr 42 total 28 remain 7 wait 267
At time 356 process 7 stopped arr 42 total 28 remain 4 wait 267
At time 357 process 3 resumed arr 15 total 29 remain 2 wait 309
At time 358 process 3 finished arr 15 total 29 remain 0 wait 309 TA 343.00 WTA 11.83
At time 359 process 15 resumed arr 77 total 26 remain 8 wait 216
At time 362 process 15 stopped arr 77 total 26 remain 5 wait 216
At time 363 process 8 resumed arr 51 total 26 remain 5 wait 265
At time 366 process 8 stopped arr 51 total 26 remain 2 wait 265
At time 367 process 6 resumed arr 32 total 29 remain 5 wait 290
At time 370 process 6 stopped arr 32 total 29 remain 2 wait 290
At time 371 process 10 resumed arr 58 total 24 remain 3 wait 259
At time 373 process 10 finished arr 58 total 24 remain 0 wait 259 TA 315.00 WTA 13.12
At time 374 process 18 resumed arr 95 total 24 remain 6 wait 204
At time 377 process 18 stopped arr 95 total 24 remain 3 wait 204
At time 378 process 7 resumed arr 42 total 28 remain 4 wait 289
At time 381 process 7 stopped arr 42 total 28 remain 1 wait 289
At time 382 process 15 resumed arr 77 total 26 remain 5 wait 236
At time 385 process 15 stopped arr 77 total 26 remain 2 wait 236
At time 386 process 8 resumed arr 51 total 26 remain 2 wait 285
At time 387 process 8 finished arr 51 total 26 remain 0 wait 285 TA 336.00 WTA 12.92
At time 388 process 6 resumed arr 32 total 29 remain 2 wait 308
At time 389 process 6 finished arr 32 total 29 remain 0 wait 308 TA 357.00 WTA 12.31
At time 390 process 18 resumed arr 95 total 24 remain 3 wait 217
At time 392 process 18 finished arr 95 total 24 remain 0 wait 217 TA 297.00 WTA 12.38
At time 393 process 7 resumed arr 42 total 28 remain 1 wait 301
At time 393 process 7 finished arr 42 total 28 remain 0 wait 301 TA 351.00 WTA 12.54
At time 394 process 15 resumed arr 77 total 26 remain 2 wait 245
At time 395 process 15 finished arr 77 total 26 remain 0 wait 245 TA 318.00 WTA 12.23
